trackId,albumId,trackName
781,72,Sweet Black Angel
782,72,Loving Cup
783,72,Happy
784,72,Turd On The Run
785,72,Ventilator Blues
786,72,I Just Want To See His Face
787,72,Let It Loose
788,72,All Down The Line
789,72,Stop Breaking Down
790,72,Shine A Light
791,72,Soul Survivor
792,73,I Saw Her Standing There
793,73,Misery
794,73,Anna (Go To Him)
795,73,Chains
796,73,Boys
797,73,Ask Me Why
798,73,Please Please Me
799,73,Love Me Do
800,73,P.S. I Love You
801,73,Baby It's You
802,73,Do You Want To Know A Secret
803,73,A Taste Of Honey
804,73,There's A Place
805,73,Twist And Shout
806,74,Live Album
807,74,Astronomy Domine
808,74,Careful With That Axe Eugene
809,74,Set The Controls For The Heart Of The Sun
810,74,A Saucerful Of Secrets
811,74,Studio Album
812,74,Sysyphus
813,74,Grantchester Meadows
814,74,Several Species Of Small Furry Animals Gathered Together In A Cave And Grooving With A Pict
815,74,The Narrow Way
816,74,The Grand Vizier's Garden Party
817,75,Tubular Bells (Side One)
818,75,Tubular Bells (Side Two)
819,76,Sunday Bloody Sunday
820,76,Seconds
821,76,New Year's Day
822,76,Like A Song...
823,76,Drowning Man
824,76,The Refugee
825,76,Two Hearts Beat As One
826,76,Red Light
827,76,Surrender`
828,76,"40"
829,77,Message In A Bottle
830,77,Reggatta De Blanc
831,77,It's Alright For You
832,77,Bring On The Night
833,77,Deathwish
834,77,Walking On The Moon
835,77,On Any Other Day
836,77,The Bed's Too Big Without You
837,77,Contact
838,77,Does Everyone Stare
839,77,No Time This Time
840,78,Material Girl
841,78,Angel
842,78,Like A Virgin
843,78,Over And Over
844,78,Love Don't Live Here Anymore
845,78,Dress You Up
846,78,Shoo-Bee-Doo
847,78,Pretender
848,78,Stay
849,79,Red Rain
850,79,Sledgehammer
851,79,Don't Give Up
852,79,That Voice Again
853,79,In Your Eyes
854,79,Mercy Street
855,79,Big Time
856,79,We Do What We're Told (Milgram's 37)
857,80,Tell Me Why
858,80,After The Goldrush
859,80,Only Love Can Break Your Heart
860,80,Southern Man
861,80,Till The Morning Comes
862,80,Oh Lonesome Me
863,80,Don't Let It Bring You Down
864,80,Birds
865,80,When You Dance I Can Really Love
866,80,I Believe In You
867,80,Cripple Creek Ferry
868,81,Watch That Man
869,81,Aladdin Sane (1913-1938-197?)
870,81,Drive-In Saturday
871,81,Panic In Detroit
872,81,Cracked Actor
873,81,Time
874,81,The Prettiest Star
875,81,Let's Spend The Night Together
876,81,The Jean Genie
877,81,Lady Grinning Soul
878,82,A Sort Of Homecoming
879,82,Pride (In The Name Of Love)
880,82,Wire
881,82,The Unforgettable Fire
882,82,Promenade
883,82,4th Of July
884,82,Bad
885,82,Indian Summer Sky
886,82,Elvis Presley And America
887,82,MLK
888,83,I Feel The Earth Move
889,83,So Far Away
890,83,It's Too Late
891,83,Home Again
